id,title,company,location,description,source_url,match_score,description_lower,job_label,skills_dictionary,skills
1370,Data Scientist,Insight Global,"South Camden, Camden County","Job Description The Cooper Health System is seeking a Data Scientist to join its analytics team. This role focuses on leveraging advanced analytics techniques to drive clinical and business decision-making. You will work with healthcare data to build predictive models, apply machine learning and NLP methods, and optimize data pipelines. The ideal candidate combines strong technical skills with the ability to communicate insights effectively to stakeholders. Key Responsibilities Develop and impl…",https://www.adzuna.com/land/ad/5513717171?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=DFA19CF3D9F427F703E2F2B7D91DEB0C2A5263AF,,"job description the cooper health system is seeking a data scientist to join its analytics team. this role focuses on leveraging advanced analytics techniques to drive clinical and business decision-making. you will work with healthcare data to build predictive models, apply machine learning and nlp methods, and optimize data pipelines. the ideal candidate combines strong technical skills with the ability to communicate insights effectively to stakeholders. key responsibilities develop and impl…",Data Scientist @ Insight Global,"[('Machine Learning', 'Machine_Learning_and_Artificial_Intelligence'), ('Nlp', 'Machine_Learning_and_Artificial_Intelligence')]","['Machine Learning', 'Nlp']"
1369,Data Scientist,Home Depot,"Atlanta, Fulton County","Position Purpose: The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specif…",https://www.adzuna.com/land/ad/5522795794?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=4F2515EAE63A5E0114731981E1020DD79093FAA4,,"position purpose: the data scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. this role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. data scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. based on the specif…",Data Scientist @ Home Depot,[],[]
1368,Data Scientist,Stanford University,"Stanford, Santa Clara County","Data Scientist Graduate School of Education, Stanford, California, United States Information Analytics Post Date Oct 16, 2025 Requisition 107547 TheStanford Center on Early Childhood, an initiative of theStanford Accelerator for Learning, seeks a full time Data Scientist to join theRAPID Survey Projectteam. The Data Scientist will oversee the work of a team of analysts, establishing and maintaining quality standards, reviewing outputs, and ensuring that research processes are executed with pre…",https://www.adzuna.com/land/ad/5454326822?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=B459F421078F9B56179E6674552C8E03C6058A7F,,"data scientist graduate school of education, stanford, california, united states information analytics post date oct 16, 2025 requisition 107547 thestanford center on early childhood, an initiative of thestanford accelerator for learning, seeks a full time data scientist to join therapid survey projectteam. the data scientist will oversee the work of a team of analysts, establishing and maintaining quality standards, reviewing outputs, and ensuring that research processes are executed with pre…",Data Scientist @ Stanford University,[],[]
1367,Data Scientist,Manulife,"Boston, Suffolk County","At Manulife, data scientists collaborate with engineers, IT, and experts to build analytical models and data architectures for solving business problems within a modern MLOps framework! The Data Scientist is accountable for delivering business value with data by focusing on key corporate objectives, including portfolio optimization, expense efficiency, growth acceleration, digital customer leadership, fraud detection, and high-performance of the team. The Data Scientist is responsible for craft…",https://www.adzuna.com/land/ad/5513716776?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=486CF0FCAC221AF348C6A8B12A637D59744BD69B,,"at manulife, data scientists collaborate with engineers, it, and experts to build analytical models and data architectures for solving business problems within a modern mlops framework! the data scientist is accountable for delivering business value with data by focusing on key corporate objectives, including portfolio optimization, expense efficiency, growth acceleration, digital customer leadership, fraud detection, and high-performance of the team. the data scientist is responsible for craft…",Data Scientist @ Manulife,"[('Mlops', 'MLOps_DevOps_Cloud'), ('Fraud Detection', 'Finance_Fintech_Banking')]","['Mlops', 'Fraud Detection']"
1366,Data Scientist,Generac Power Systems,"Pewaukee, Waukesha County","We are Generac, a leading energy technology company committed to powering a smarter world. Over the 60 plus years of Generac's history, we've been dedicated to energy innovation. From creating the home standby generator market category, to our current evolution into an energy technology solutions company, we continue to push new boundaries. The Data Scientist will analyze and interpret complex data sets to provide insights and recommendations that will help optimize the business groups sales st…",https://www.adzuna.com/land/ad/5528566412?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=13BEEFDC389685E09638C2626BD794905024C46A,,"we are generac, a leading energy technology company committed to powering a smarter world. over the 60 plus years of generac's history, we've been dedicated to energy innovation. from creating the home standby generator market category, to our current evolution into an energy technology solutions company, we continue to push new boundaries. the data scientist will analyze and interpret complex data sets to provide insights and recommendations that will help optimize the business groups sales st…",Data Scientist @ Generac Power Systems,[],[]
1365,Senior Data Scientist - NLP,Capital One,"New York City, New York","Senior Data Scientist - NLP Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making. As a Data Scientist at Capital One, you’ll be part of…",https://www.adzuna.com/land/ad/5535947040?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=7E298AE2639D1A1E4903894BDAC463675392EFBD,,"senior data scientist - nlp data is at the center of everything we do. as a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a fortune 200 company and a leader in the world of data-driven decision-making. as a data scientist at capital one, you’ll be part of…",Senior Data Scientist - NLP @ Capital One,"[('Nlp', 'Machine_Learning_and_Artificial_Intelligence'), ('Statistical Modeling', 'Statistics'), ('Credit Card', 'Finance_Fintech_Banking')]","['Nlp', 'Statistical Modeling', 'Credit Card']"
1364,Data Scientist (Remote),Outlier AI,"Raleigh, Smith County","Job Description Join a global community of talented professionals to shape the future of AI. Earn up to $15 USD/hr and additional rewards based on quality of submission. \n Outlier is committed to improving the intelligence & safety of AI models. Owned and operated by Scale AI , we’ve recently been featured in Forbes for partnering experts with top AI labs to provide the high quality data for LLMs. We believe AI can only perform as well as the data it’s trained on. That’s why we work with contr…",https://www.adzuna.com/land/ad/5537664254?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=ECF63EE081EECCEB8B767DBD4674B04CFC767DEA,,"job description join a global community of talented professionals to shape the future of ai. earn up to $15 usd/hr and additional rewards based on quality of submission. \n outlier is committed to improving the intelligence & safety of ai models. owned and operated by scale ai , we’ve recently been featured in forbes for partnering experts with top ai labs to provide the high quality data for llms. we believe ai can only perform as well as the data it’s trained on. that’s why we work with contr…",Data Scientist (Remote) @ Outlier AI,[],[]
1363,Data Scientist,Outlier AI,"Detroit, Pike County","Job Description Join a global community of talented professionals to shape the future of AI. Earn up to $15 USD/hr and additional rewards based on quality of submission. \n Outlier is committed to improving the intelligence & safety of AI models. Owned and operated by Scale AI , we’ve recently been featured in Forbes for partnering experts with top AI labs to provide the high quality data for LLMs. We believe AI can only perform as well as the data it’s trained on. That’s why we work with contr…",https://www.adzuna.com/land/ad/5537686158?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=12742DFE391ECD88E9653ED1A0B99FEB05FC907B,,"job description join a global community of talented professionals to shape the future of ai. earn up to $15 usd/hr and additional rewards based on quality of submission. \n outlier is committed to improving the intelligence & safety of ai models. owned and operated by scale ai , we’ve recently been featured in forbes for partnering experts with top ai labs to provide the high quality data for llms. we believe ai can only perform as well as the data it’s trained on. that’s why we work with contr…",Data Scientist @ Outlier AI,[],[]
1362,Senior Data Scientist I,LexisNexis,US,"hackajob is collaborating with LexisNexis to connect them with exceptional tech professionals for this role. Job Locations: • 100% remote • If located in Raleigh, NC – hybrid work schedule Base Salary Range: • $93,400.00 - $124,600.00 - $155,700.00 USD • 10% Annual Bonus Incentive Role: Senior Data Scientist 1 • Masters plus 7–10 years OR PhD with 6 years Job Description Do you want to help us build further data science capabilities Are you eager to work on the quality of data sources serving …",https://www.adzuna.com/land/ad/5458996210?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=65D36AF4162C6F7E5FB779540821263B40B320D5,,"hackajob is collaborating with lexisnexis to connect them with exceptional tech professionals for this role. job locations: • 100% remote • if located in raleigh, nc – hybrid work schedule base salary range: • $93,400.00 - $124,600.00 - $155,700.00 usd • 10% annual bonus incentive role: senior data scientist 1 • masters plus 7–10 years or phd with 6 years job description do you want to help us build further data science capabilities are you eager to work on the quality of data sources serving …",Senior Data Scientist I @ LexisNexis,[],[]
1361,Journeyman Data Scientist,MANTECH,US,"hackajob is collaborating with MANTECH to connect them with exceptional tech professionals for this role. ManTech seeks a motivated, career and customer-oriented Journeyman Data Scientist to join our team in Chantilly, VA. Responsibilities include but are not limited to: Creating new innovative methodologies through collaboration with data visualization experts, analyst personnel, and leadership to detect threats as the insider threat landscape evolves. Utilizing cutting-edge technologies for i…",https://www.adzuna.com/land/ad/5537658632?se=mvDVO3HX8BGRNdJTGBOSjQ&utm_medium=api&utm_source=1f2870ef&v=16C7DA8E553E462ECE1B6EAF5F26720A8554466B,,"hackajob is collaborating with mantech to connect them with exceptional tech professionals for this role. mantech seeks a motivated, career and customer-oriented journeyman data scientist to join our team in chantilly, va. responsibilities include but are not limited to: creating new innovative methodologies through collaboration with data visualization experts, analyst personnel, and leadership to detect threats as the insider threat landscape evolves. utilizing cutting-edge technologies for i…",Journeyman Data Scientist @ MANTECH,[],[]
