id,job_label,company,skills_dictionary,skill_name,skill_category
1637,Solutions Architect @ Insight Global,Insight Global,"('Api', 'Software_Development_Engineering')",Api,Software_Development_Engineering
1631,Azure Cloud Solutions Architect @ Jobot,Jobot,"('Microservices', 'Software_Development_Engineering')",Microservices,Software_Development_Engineering
1627,"Senior WW Specialist Solutions Architect - Amazon Connect (Contact Center Solutions WFM, CRM), AWS WWSO Apps @ Amazon Web Services, Inc.","Amazon Web Services, Inc.","('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1627,"Senior WW Specialist Solutions Architect - Amazon Connect (Contact Center Solutions WFM, CRM), AWS WWSO Apps @ Amazon Web Services, Inc.","Amazon Web Services, Inc.","('Go', 'Software_Development_Engineering')",Go,Software_Development_Engineering
1626,Senior Azure Pre-Sales Solutions Architect (East) (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1625,Senior AWS Pre-Sales Solutions Architect (East) (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1623,Lead Healthcare Solutions Architect (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1622,Senior Solutions Architect (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1620,Solutions Architect @ Vantor,Vantor,"('Go', 'Software_Development_Engineering')",Go,Software_Development_Engineering
1615,Solutions Architect @ Insight Global,Insight Global,"('Api', 'Software_Development_Engineering')",Api,Software_Development_Engineering
1609,Azure Cloud Solutions Architect @ Jobot,Jobot,"('Microservices', 'Software_Development_Engineering')",Microservices,Software_Development_Engineering
1605,"Senior WW Specialist Solutions Architect - Amazon Connect (Contact Center Solutions WFM, CRM), AWS WWSO Apps @ Amazon Web Services, Inc.","Amazon Web Services, Inc.","('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1605,"Senior WW Specialist Solutions Architect - Amazon Connect (Contact Center Solutions WFM, CRM), AWS WWSO Apps @ Amazon Web Services, Inc.","Amazon Web Services, Inc.","('Go', 'Software_Development_Engineering')",Go,Software_Development_Engineering
1604,Senior Azure Pre-Sales Solutions Architect (East) (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1603,Senior AWS Pre-Sales Solutions Architect (East) (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1601,Lead Healthcare Solutions Architect (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1600,Senior Solutions Architect (RapidScale) @ Cox Communications,Cox Communications,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1598,Solutions Architect @ Vantor,Vantor,"('Go', 'Software_Development_Engineering')",Go,Software_Development_Engineering
1595,Cyber Security Analyst @ PingWind,PingWind,"('R', 'Programming_Tools')",R,Programming_Tools
1595,Cyber Security Analyst @ PingWind,PingWind,"('Life Insurance', 'Insurance_Risk_Underwriting')",Life Insurance,Insurance_Risk_Underwriting
1595,Cyber Security Analyst @ PingWind,PingWind,"('Supply Chain', 'General_Business_Analytical')",Supply Chain,General_Business_Analytical
1595,Cyber Security Analyst @ PingWind,PingWind,"('System Design', 'Software_Development_Engineering')",System Design,Software_Development_Engineering
1593,Cyber Security Analyst @ JCS Solutions,JCS Solutions,"('Life Insurance', 'Insurance_Risk_Underwriting')",Life Insurance,Insurance_Risk_Underwriting
1593,Cyber Security Analyst @ JCS Solutions,JCS Solutions,"('Communication Skills', 'Soft_Skills_Misc')",Communication Skills,Soft_Skills_Misc
1593,Cyber Security Analyst @ JCS Solutions,JCS Solutions,"('Cloud Computing', 'Software_Development_Engineering')",Cloud Computing,Software_Development_Engineering
1590,Cyber Security Analyst @ MicroHealth,MicroHealth,"('Problem Solving', 'Soft_Skills_Misc')",Problem Solving,Soft_Skills_Misc
1588,"Cyber Security Analyst @ MicroHealth, LLC","MicroHealth, LLC","('Problem Solving', 'Soft_Skills_Misc')",Problem Solving,Soft_Skills_Misc
1580,Cyber Security Analyst @ Exeter Government Servi,Exeter Government Servi,"('Provider', 'Healthcare_Pharma_Biotech')",Provider,Healthcare_Pharma_Biotech
1578,Cyber Security Analyst @ St. Claire Regional Medical Center,St. Claire Regional Medical Center,"('Agile', 'Software_Development_Engineering')",Agile,Software_Development_Engineering
1576,Cyber Security Analyst @ Armison Tech,Armison Tech,"('Python', 'Programming_Tools')",Python,Programming_Tools
1576,Cyber Security Analyst @ Armison Tech,Armison Tech,"('Excel', 'Productivity_Tools')",Excel,Productivity_Tools
1574,Cyber Security Analyst @ Tactibit Technologies,Tactibit Technologies,"('Python', 'Programming_Tools')",Python,Programming_Tools
1574,Cyber Security Analyst @ Tactibit Technologies,Tactibit Technologies,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1574,Cyber Security Analyst @ Tactibit Technologies,Tactibit Technologies,"('Jira', 'Productivity_Tools')",Jira,Productivity_Tools
1570,Cyber Security Analyst @ E-Infosol Llc,E-Infosol Llc,"('Aws', 'MLOps_DevOps_Cloud')",Aws,MLOps_DevOps_Cloud
1570,Cyber Security Analyst @ E-Infosol Llc,E-Infosol Llc,"('Regulatory Compliance', 'Insurance_Risk_Underwriting')",Regulatory Compliance,Insurance_Risk_Underwriting
1570,Cyber Security Analyst @ E-Infosol Llc,E-Infosol Llc,"('Cloud Computing', 'Software_Development_Engineering')",Cloud Computing,Software_Development_Engineering
1566,Cyber Security Analyst @ Genoa Employment Solutions,Genoa Employment Solutions,"('Python', 'Programming_Tools')",Python,Programming_Tools
1566,Cyber Security Analyst @ Genoa Employment Solutions,Genoa Employment Solutions,"('Java', 'Programming_Tools')",Java,Programming_Tools
1566,Cyber Security Analyst @ Genoa Employment Solutions,Genoa Employment Solutions,"('Agile', 'Software_Development_Engineering')",Agile,Software_Development_Engineering
1566,Cyber Security Analyst @ Genoa Employment Solutions,Genoa Employment Solutions,"('Go', 'Software_Development_Engineering')",Go,Software_Development_Engineering
1558,Cyber Security Analyst @ JCS Solutions LLC,JCS Solutions LLC,"('Life Insurance', 'Insurance_Risk_Underwriting')",Life Insurance,Insurance_Risk_Underwriting
1558,Cyber Security Analyst @ JCS Solutions LLC,JCS Solutions LLC,"('Communication Skills', 'Soft_Skills_Misc')",Communication Skills,Soft_Skills_Misc
1558,Cyber Security Analyst @ JCS Solutions LLC,JCS Solutions LLC,"('Cloud Computing', 'Software_Development_Engineering')",Cloud Computing,Software_Development_Engineering
1556,"Cyber Security Analyst @ MicroHealth, LLC","MicroHealth, LLC","('Problem Solving', 'Soft_Skills_Misc')",Problem Solving,Soft_Skills_Misc
1552,Cyber Security Analyst @ OSC Global,OSC Global,"('Communication Skills', 'Soft_Skills_Misc')",Communication Skills,Soft_Skills_Misc
1552,Cyber Security Analyst @ OSC Global,OSC Global,"('Critical Thinking', 'Soft_Skills_Misc')",Critical Thinking,Soft_Skills_Misc
1552,Cyber Security Analyst @ OSC Global,OSC Global,"('Agile', 'Software_Development_Engineering')",Agile,Software_Development_Engineering
1552,Cyber Security Analyst @ OSC Global,OSC Global,"('Excel', 'Productivity_Tools')",Excel,Productivity_Tools
1552,Cyber Security Analyst @ OSC Global,OSC Global,"('Powerpoint', 'Productivity_Tools')",Powerpoint,Productivity_Tools
1552,Cyber Security Analyst @ OSC Global,OSC Global,"('Word', 'Productivity_Tools')",Word,Productivity_Tools
1550,Cyber Security Analyst @ Zone IT Solutions,Zone IT Solutions,"('Communication Skills', 'Soft_Skills_Misc')",Communication Skills,Soft_Skills_Misc
1550,Cyber Security Analyst @ Zone IT Solutions,Zone IT Solutions,"('Agile', 'Software_Development_Engineering')",Agile,Software_Development_Engineering
1533,Cyber Security Analyst with Security Clearance @ Leidos,Leidos,"('R', 'Programming_Tools')",R,Programming_Tools
1530,Cyber Security Analyst with Security Clearance @ Leidos,Leidos,"('R', 'Programming_Tools')",R,Programming_Tools
1529,Cyber Security Analyst with Security Clearance @ Leidos,Leidos,"('R', 'Programming_Tools')",R,Programming_Tools
1526,Cyber Security Analyst with Security Clearance @ Leidos,Leidos,"('R', 'Programming_Tools')",R,Programming_Tools
1525,Cyber Security Analyst with Security Clearance @ MANTECH,MANTECH,"('Logistics', 'General_Business_Analytical')",Logistics,General_Business_Analytical
1522,Cyber Security Analyst with Security Clearance @ MANTECH,MANTECH,"('Logistics', 'General_Business_Analytical')",Logistics,General_Business_Analytical
1511,Principal Cyber Security Analyst - Threat Hunter @ Mission Support and Test Services,Mission Support and Test Services,"('Experimentation', 'General_Business_Analytical')",Experimentation,General_Business_Analytical
1508,Principal Cyber Security Analyst - Threat Hunter @ Mission Support and Test Services,Mission Support and Test Services,"('Experimentation', 'General_Business_Analytical')",Experimentation,General_Business_Analytical
1498,Senior Cyber Security Analyst @ ASRC Federal Holding Company,ASRC Federal Holding Company,"('Provider', 'Healthcare_Pharma_Biotech')",Provider,Healthcare_Pharma_Biotech
